"No.","Time","Source","Destination","Protocol","Length","Info"
"2423","4.428221","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=148240 Win=120928 Len=0 TSval=247168375 TSecr=3915082899"
"2424","4.428277","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58994 > 443 [ACK] Seq=6825 Ack=148240 Win=131072 Len=0 TSval=247168375 TSecr=3915082899"
"2425","4.428724","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2426","4.428727","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2427","4.428750","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=151136 Win=128160 Len=0 TSval=247168376 TSecr=3915082899"
"2428","4.428769","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58994 > 443 [ACK] Seq=6825 Ack=151136 Win=131072 Len=0 TSval=247168376 TSecr=3915082899"
"2429","4.436474","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2430","4.436993","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2431","4.436996","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2432","4.436997","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2433","4.436998","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2434","4.436998","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2435","4.436999","54.192.103.131","192.168.1.81","TLSv1.2","1323","Application Data"
"2436","4.437046","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=10553 Ack=258706 Win=129600 Len=0 TSval=247168383 TSecr=3725459103"
"2437","4.437046","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=10553 Ack=261602 Win=128160 Len=0 TSval=247168383 TSecr=3725459103"
"2438","4.437046","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58995 > 443 [ACK] Seq=10553 Ack=261602 Win=131072 Len=0 TSval=247168383 TSecr=3725459103"
"2439","4.437112","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=10553 Ack=263050 Win=131072 Len=0 TSval=247168383 TSecr=3725459103"
"2440","4.437112","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=10553 Ack=265755 Win=128352 Len=0 TSval=247168383 TSecr=3725459103"
"2441","4.437832","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2442","4.438429","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2443","4.438432","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2444","4.438433","54.192.103.131","192.168.1.81","TLSv1.2","1002","Application Data"
"2445","4.438470","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=11591 Ack=372842 Win=129600 Len=0 TSval=247168384 TSecr=3719275208"
"2446","4.438517","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=11591 Ack=375226 Win=128672 Len=0 TSval=247168384 TSecr=3719275208"
"2447","4.438914","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2448","4.439501","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2449","4.439504","54.192.103.131","192.168.1.81","TLSv1.2","405","Application Data"
"2450","4.439536","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11042 Ack=258348 Win=128160 Len=0 TSval=247168385 TSecr=3719275209"
"2451","4.439536","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11042 Ack=258687 Win=127808 Len=0 TSval=247168385 TSecr=3719275209"
"2452","4.439798","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58991 > 443 [ACK] Seq=11042 Ack=258687 Win=131072 Len=0 TSval=247168385 TSecr=3719275209"
"2453","4.440654","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2454","4.441168","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2455","4.441170","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2456","4.441171","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2457","4.441207","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=7895 Ack=201737 Win=128160 Len=0 TSval=247168386 TSecr=3725459104"
"2458","4.441207","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 59000 > 443 [ACK] Seq=7895 Ack=201737 Win=131072 Len=0 TSval=247168386 TSecr=3725459104"
"2459","4.441207","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=7895 Ack=204633 Win=128160 Len=0 TSval=247168386 TSecr=3725459104"
"2460","4.441261","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 59000 > 443 [ACK] Seq=7895 Ack=204633 Win=131072 Len=0 TSval=247168386 TSecr=3725459104"
"2461","4.441326","192.168.1.81","54.192.103.131","TLSv1.2","535","Application Data"
"2462","4.441383","192.168.1.81","54.192.103.131","TLSv1.2","537","Application Data"
"2463","4.441436","192.168.1.81","54.192.103.131","TLSv1.2","535","Application Data"
"2464","4.441728","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2465","4.442312","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2466","4.442314","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2467","4.442315","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2468","4.442316","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2469","4.442317","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2470","4.442328","54.192.103.131","192.168.1.81","SSL","665","[SSL segment of a reassembled PDU]"
"2471","4.442405","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=7895 Ack=207529 Win=129600 Len=0 TSval=247168387 TSecr=3725459104"
"2472","4.442405","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=7895 Ack=210425 Win=126720 Len=0 TSval=247168387 TSecr=3725459104"
"2473","4.442405","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=7895 Ack=213321 Win=123808 Len=0 TSval=247168387 TSecr=3725459104"
"2474","4.442405","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 59000 > 443 [ACK] Seq=7895 Ack=213321 Win=131072 Len=0 TSval=247168387 TSecr=3725459104"
"2475","4.442405","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=7895 Ack=213920 Win=130464 Len=0 TSval=247168387 TSecr=3725459104"
"2476","4.443974","192.168.1.81","54.192.103.131","SSL","537","[SSL segment of a reassembled PDU]"
"2477","4.444351","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2478","4.444936","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2479","4.444938","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2480","4.444939","54.192.103.131","192.168.1.81","TLSv1.2","1514","Application Data"
"2481","4.444939","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2482","4.444940","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2483","4.444952","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2484","4.444952","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2485","4.445029","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=154032 Win=129600 Len=0 TSval=247168390 TSecr=3915082901"
"2486","4.445030","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=156928 Win=126720 Len=0 TSval=247168390 TSecr=3915082901"
"2487","4.445030","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=159824 Win=123808 Len=0 TSval=247168390 TSecr=3915082901"
"2488","4.445030","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=162720 Win=120928 Len=0 TSval=247168390 TSecr=3915082901"
"2489","4.445030","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58994 > 443 [ACK] Seq=6825 Ack=162720 Win=131072 Len=0 TSval=247168390 TSecr=3915082901"
"2490","4.446310","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2491","4.446312","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2492","4.446313","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2493","4.446314","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2494","4.446315","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2495","4.446358","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=165616 Win=128160 Len=0 TSval=247168391 TSecr=3915082901"
"2496","4.446358","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=167064 Win=131072 Len=0 TSval=247168391 TSecr=3915082901"
"2497","4.446421","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=169960 Win=128160 Len=0 TSval=247168391 TSecr=3915082901"
"2498","4.458720","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2499","4.459104","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2500","4.459110","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2501","4.459112","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2502","4.459113","54.192.103.131","192.168.1.81","TLSv1.2","1133","Application Data"
"2503","4.459115","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2504","4.459116","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2505","4.459202","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11022 Ack=268651 Win=129600 Len=0 TSval=247168403 TSecr=3725459106"
"2506","4.459202","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11022 Ack=271547 Win=126720 Len=0 TSval=247168403 TSecr=3725459106"
"2507","4.459202","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11022 Ack=272614 Win=125632 Len=0 TSval=247168403 TSecr=3725459106"
"2508","4.459202","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11513 Ack=261583 Win=128160 Len=0 TSval=247168403 TSecr=3719275211"
"2509","4.459269","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58995 > 443 [ACK] Seq=11022 Ack=272614 Win=131072 Len=0 TSval=247168403 TSecr=3725459106"
"2510","4.459947","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2511","4.459950","54.192.103.131","192.168.1.81","TLSv1.2","584","Application Data"
"2512","4.459951","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2513","4.459953","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2514","4.459962","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2515","4.459963","54.192.103.131","192.168.1.81","TLSv1.2","434","Application Data"
"2516","4.459964","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2517","4.460102","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2518","4.460104","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2519","4.460105","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2520","4.460106","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2521","4.460107","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2522","4.460166","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=375744 Win=130528 Len=0 TSval=247168404 TSecr=3719275211"
"2523","4.460166","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11513 Ack=264479 Win=125280 Len=0 TSval=247168404 TSecr=3719275211"
"2524","4.460166","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11513 Ack=267375 Win=122368 Len=0 TSval=247168404 TSecr=3719275211"
"2525","4.460166","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11513 Ack=267743 Win=122016 Len=0 TSval=247168404 TSecr=3719275211"
"2526","4.460166","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=378640 Win=127648 Len=0 TSval=247168404 TSecr=3719275211"
"2527","4.460167","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=381536 Win=124736 Len=0 TSval=247168404 TSecr=3719275211"
"2528","4.460167","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=384432 Win=121856 Len=0 TSval=247168404 TSecr=3719275211"
"2529","4.460285","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58991 > 443 [ACK] Seq=11513 Ack=267743 Win=131072 Len=0 TSval=247168404 TSecr=3719275211"
"2530","4.460828","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2531","4.460831","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2532","4.460832","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2533","4.460833","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2534","4.460834","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2535","4.460835","54.192.103.131","192.168.1.81","TLSv1.2","551","Application Data"
"2536","4.460836","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2537","4.460899","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2538","4.460902","54.192.103.131","192.168.1.81","TLSv1.2","929","Application Data"
"2539","4.460912","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=387328 Win=118944 Len=0 TSval=247168404 TSecr=3719275211"
"2540","4.460912","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=390224 Win=116064 Len=0 TSval=247168404 TSecr=3719275211"
"2541","4.460912","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=392157 Win=114112 Len=0 TSval=247168404 TSecr=3719275211"
"2542","4.460922","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=395053 Win=111232 Len=0 TSval=247168404 TSecr=3719275211"
"2543","4.460926","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=12060 Ack=395916 Win=110368 Len=0 TSval=247168404 TSecr=3719275211"
"2544","4.461896","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58993 > 443 [ACK] Seq=12060 Ack=395916 Win=127776 Len=0 TSval=247168405 TSecr=3719275211"
"2545","4.462729","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2546","4.462741","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58993 > 443 [ACK] Seq=12060 Ack=395916 Win=131072 Len=0 TSval=247168405 TSecr=3719275211"
"2547","4.463203","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2548","4.463206","54.192.103.131","192.168.1.81","TLSv1.2","1514","Application Data"
"2549","4.463207","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2550","4.463208","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2551","4.463209","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2552","4.463211","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2553","4.463212","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2554","4.463272","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=172856 Win=128160 Len=0 TSval=247168406 TSecr=3915082902"
"2555","4.463273","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=175752 Win=125280 Len=0 TSval=247168406 TSecr=3915082902"
"2556","4.463273","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=178648 Win=122368 Len=0 TSval=247168406 TSecr=3915082902"
"2557","4.463273","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=181544 Win=119488 Len=0 TSval=247168406 TSecr=3915082902"
"2558","4.464332","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2559","4.464336","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2560","4.464338","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2561","4.464339","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2562","4.464340","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2563","4.464341","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2564","4.464342","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2565","4.464436","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=184440 Win=116576 Len=0 TSval=247168407 TSecr=3915082902"
"2566","4.464437","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=8366 Ack=216816 Win=128160 Len=0 TSval=247168407 TSecr=3725459106"
"2567","4.464437","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=8366 Ack=219712 Win=125280 Len=0 TSval=247168407 TSecr=3725459106"
"2568","4.464773","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=185888 Win=131072 Len=0 TSval=247168407 TSecr=3915082902"
"2569","4.465033","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 59000 > 443 [ACK] Seq=8366 Ack=219712 Win=131072 Len=0 TSval=247168407 TSecr=3725459106"
"2570","4.465233","192.168.1.81","54.192.103.131","TLSv1.2","535","Application Data"
"2571","4.465447","192.168.1.81","54.192.103.131","TLSv1.2","535","Application Data"
"2572","4.466354","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2573","4.466357","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2574","4.466358","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2575","4.466360","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2576","4.466361","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2577","4.466362","54.192.103.131","192.168.1.81","SSL","939","[SSL segment of a reassembled PDU]"
"2578","4.466409","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=8366 Ack=222608 Win=128160 Len=0 TSval=247168408 TSecr=3725459106"
"2579","4.466461","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=8366 Ack=225504 Win=125280 Len=0 TSval=247168408 TSecr=3725459106"
"2580","4.466461","192.168.1.81","54.192.103.131","TCP","66","59000 > 443 [ACK] Seq=8366 Ack=227825 Win=122944 Len=0 TSval=247168408 TSecr=3725459106"
"2581","4.466472","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 59000 > 443 [ACK] Seq=8366 Ack=227825 Win=131072 Len=0 TSval=247168408 TSecr=3725459106"
"2582","4.468071","192.168.1.81","54.192.103.131","TLSv1.2","535","Application Data"
"2583","4.469023","192.168.1.81","54.192.103.131","SSL","535","[SSL segment of a reassembled PDU]"
"2584","4.478890","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2585","4.479344","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2586","4.479347","54.192.103.131","192.168.1.81","TLSv1.2","1514","Application Data"
"2587","4.479348","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2588","4.479383","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=188784 Win=129600 Len=0 TSval=247168420 TSecr=3915082904"
"2589","4.479441","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=191680 Win=128160 Len=0 TSval=247168420 TSecr=3915082904"
"2590","4.479441","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58994 > 443 [ACK] Seq=6825 Ack=191680 Win=131072 Len=0 TSval=247168420 TSecr=3915082904"
"2591","4.480773","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2592","4.480775","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2593","4.480776","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2594","4.480777","54.192.103.131","192.168.1.81","TLSv1.2","803","Application Data"
"2595","4.480808","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=194576 Win=128160 Len=0 TSval=247168421 TSecr=3915082904"
"2596","4.480862","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58994 > 443 [ACK] Seq=6825 Ack=194576 Win=131072 Len=0 TSval=247168421 TSecr=3915082904"
"2597","4.480892","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=196024 Win=131072 Len=0 TSval=247168421 TSecr=3915082904"
"2598","4.480898","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=6825 Ack=196761 Win=130304 Len=0 TSval=247168421 TSecr=3915082904"
"2599","4.481821","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2600","4.482364","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2601","4.482369","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2602","4.482370","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2603","4.482371","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2604","4.482372","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2605","4.482373","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2606","4.482375","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2607","4.482468","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2608","4.482470","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2609","4.482471","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2610","4.482473","54.192.103.131","192.168.1.81","TLSv1.2","551","Application Data"
"2611","4.482474","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2612","4.482521","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11491 Ack=275510 Win=129600 Len=0 TSval=247168422 TSecr=3725459108"
"2613","4.482522","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11491 Ack=278406 Win=126720 Len=0 TSval=247168422 TSecr=3725459108"
"2614","4.482522","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11491 Ack=281302 Win=123808 Len=0 TSval=247168422 TSecr=3725459108"
"2615","4.482522","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11491 Ack=284198 Win=120928 Len=0 TSval=247168422 TSecr=3725459108"
"2616","4.482522","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11491 Ack=287094 Win=118016 Len=0 TSval=247168422 TSecr=3725459108"
"2617","4.482522","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11491 Ack=289027 Win=116096 Len=0 TSval=247168422 TSecr=3725459108"
"2618","4.483408","54.192.103.131","192.168.1.81","TLSv1.2","1095","Application Data"
"2619","4.483417","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2620","4.483419","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2621","4.483424","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2622","4.483428","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2623","4.483433","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2624","4.483436","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2625","4.483440","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2626","4.483444","54.192.103.131","192.168.1.81","TLSv1.2","584","Application Data"
"2627","4.483564","192.168.1.81","54.192.103.131","TLSv1.2","535","Application Data"
"2628","4.483565","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11491 Ack=290475 Win=131072 Len=0 TSval=247168423 TSecr=3725459108"
"2629","4.483565","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=11491 Ack=291504 Win=130016 Len=0 TSval=247168423 TSecr=3725459108"
"2630","4.483565","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11982 Ack=270639 Win=128160 Len=0 TSval=247168423 TSecr=3719275213"
"2631","4.483566","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11982 Ack=273535 Win=125280 Len=0 TSval=247168423 TSecr=3719275213"
"2632","4.483566","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11982 Ack=276431 Win=122368 Len=0 TSval=247168423 TSecr=3719275213"
"2633","4.483567","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=11982 Ack=278397 Win=120416 Len=0 TSval=247168423 TSecr=3719275213"
"2634","4.485149","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58991 > 443 [ACK] Seq=11982 Ack=278397 Win=131072 Len=0 TSval=247168424 TSecr=3719275213"
"2635","4.485375","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2636","4.486073","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2637","4.486077","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2638","4.486079","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"2639","4.486081","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
