"No.","Time","Source","Destination","Protocol","Length","Info"
"2510","6.973797000","172.20.7.83","104.70.55.222","TCP","66","57008 > 443 [ACK] Seq=222 Ack=2897 Win=128416 Len=0 TSval=1626194943 TSecr=1463131810"
"2511","6.973883000","104.70.55.222","172.20.7.83","TLSv1.2","717","Certificate"
"2512","6.973925000","172.20.7.83","104.70.55.222","TCP","66","57008 > 443 [ACK] Seq=222 Ack=3548 Win=127744 Len=0 TSval=1626194943 TSecr=1463131810"
"2513","6.975782000","184.72.216.150","172.20.7.83","TCP","66","443 > 57027 [ACK] Seq=1 Ack=518 Win=19200 Len=0 TSval=2362407708 TSecr=1626194907"
"2514","6.977944000","184.72.216.150","172.20.7.83","TLSv1.2","1514","Server Hello"
"2515","6.977948000","184.72.216.150","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2516","6.977950000","184.72.216.150","172.20.7.83","TLSv1.2","1266","Certificate"
"2517","6.977986000","184.72.216.150","172.20.7.83","TLSv1.2","265","Server Key Exchange"
"2518","6.978022000","172.20.7.83","184.72.216.150","TCP","66","57027 > 443 [ACK] Seq=518 Ack=2897 Win=128864 Len=0 TSval=1626194947 TSecr=2362407708"
"2519","6.978086000","172.20.7.83","184.72.216.150","TCP","66","57027 > 443 [ACK] Seq=518 Ack=4097 Win=127648 Len=0 TSval=1626194947 TSecr=2362407708"
"2520","6.978086000","172.20.7.83","184.72.216.150","TCP","66","57027 > 443 [ACK] Seq=518 Ack=4296 Win=127456 Len=0 TSval=1626194947 TSecr=2362407708"
"2521","6.978219000","172.20.7.83","104.193.82.52","TCP","78","57051 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626194947 TSecr=0 SACK_PERM=1"
"2523","6.980435000","184.72.216.150","172.20.7.83","TCP","66","443 > 57026 [ACK] Seq=1 Ack=518 Win=19200 Len=0 TSval=2362407708 TSecr=1626194910"
"2524","6.981591000","184.72.216.150","172.20.7.83","TLSv1.2","1514","Server Hello"
"2525","6.981597000","184.72.216.150","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2526","6.981598000","184.72.216.150","172.20.7.83","TLSv1.2","1266","Certificate"
"2527","6.981669000","184.72.216.150","172.20.7.83","TLSv1.2","265","Server Key Exchange"
"2528","6.981683000","172.20.7.83","184.72.216.150","TCP","66","57026 > 443 [ACK] Seq=518 Ack=2897 Win=128864 Len=0 TSval=1626194950 TSecr=2362407709"
"2529","6.981683000","172.20.7.83","184.72.216.150","TCP","66","57026 > 443 [ACK] Seq=518 Ack=4097 Win=127648 Len=0 TSval=1626194950 TSecr=2362407709"
"2530","6.981753000","172.20.7.83","184.72.216.150","TCP","66","57026 > 443 [ACK] Seq=518 Ack=4296 Win=127456 Len=0 TSval=1626194950 TSecr=2362407709"
"2531","6.983803000","119.254.11.66","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2532","6.983808000","119.254.11.66","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2533","6.983886000","172.20.7.83","119.254.11.66","TCP","66","56725 > 80 [ACK] Seq=379 Ack=39277 Win=128160 Len=0 TSval=1626194952 TSecr=3632280310"
"2534","6.984715000","119.254.11.66","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2536","6.995022000","172.20.7.83","104.193.82.52","TCP","78","57052 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626194962 TSecr=0 SACK_PERM=1"
"2537","6.995725000","172.20.7.83","173.194.46.71","TCP","54","56699 > 443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"2538","7.009657000","216.58.216.102","172.20.7.83","TCP","66","80 > 57023 [FIN, ACK] Seq=1 Ack=2 Win=42624 Len=0 TSval=3539157160 TSecr=1626194900"
"2539","7.009748000","172.20.7.83","216.58.216.102","TCP","66","57023 > 80 [ACK] Seq=2 Ack=2 Win=131872 Len=0 TSval=1626194977 TSecr=3539157160"
"2540","7.013202000","216.58.216.194","172.20.7.83","TCP","66","[TCP ACKed unseen segment] 443 > 55992 [ACK] Seq=1 Ack=599 Win=703 Len=0 TSval=3192836023 TSecr=1626194916"
"2541","7.013206000","216.58.216.194","172.20.7.83","TCP","66","443 > 55992 [ACK] Seq=1 Ack=645 Win=703 Len=0 TSval=3192836023 TSecr=1626194916"
"2542","7.013240000","216.58.216.194","172.20.7.83","TLSv1.2","112","Application Data"
"2543","7.013296000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=47 Win=4094 Len=0 TSval=1626194980 TSecr=3192836024"
"2544","7.014942000","119.254.11.66","172.20.7.83","TCP","1514","[TCP Previous segment not captured] 80 > 56725 [ACK] Seq=42173 Ack=379 Win=66608 Len=1448 TSval=3632280333 TSecr=1626194585[Reassembly error, protocol TCP: New fragment past old data limits]"
"2545","7.014946000","119.254.11.66","172.20.7.83","TCP","1514","80 > 56725 [ACK] Seq=43621 Ack=379 Win=66608 Len=1448 TSval=3632280333 TSecr=1626194585"
"2546","7.014947000","216.58.216.194","172.20.7.83","TLSv1.2","122","Application Data"
"2547","7.015027000","172.20.7.83","119.254.11.66","TCP","78","56725 > 80 [ACK] Seq=379 Ack=40725 Win=126720 Len=0 TSval=1626194981 TSecr=3632280311 SLE=42173 SRE=43621"
"2548","7.015027000","172.20.7.83","119.254.11.66","TCP","78","[TCP Dup ACK 2547#1] 56725 > 80 [ACK] Seq=379 Ack=40725 Win=126720 Len=0 TSval=1626194981 TSecr=3632280311 SLE=42173 SRE=45069"
"2549","7.015094000","172.20.7.83","216.58.216.194","TCP","66","57018 > 443 [ACK] Seq=734 Ack=211 Win=131648 Len=0 TSval=1626194981 TSecr=3192889570"
"2550","7.015412000","216.58.216.194","172.20.7.83","TLSv1.2","108","Application Data"
"2551","7.015453000","172.20.7.83","216.58.216.194","TCP","66","57018 > 443 [ACK] Seq=734 Ack=253 Win=131616 Len=0 TSval=1626194981 TSecr=3192889570"
"2552","7.015701000","104.70.55.222","172.20.7.83","TCP","66","443 > 57010 [ACK] Seq=1 Ack=222 Win=30048 Len=0 TSval=1463131863 TSecr=1626194848"
"2553","7.016266000","119.254.11.66","172.20.7.83","TCP","1514","80 > 56725 [ACK] Seq=45069 Ack=379 Win=66608 Len=1448 TSval=3632280335 TSecr=1626194586"
"2554","7.016270000","119.254.11.66","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2555","7.016271000","119.254.11.66","172.20.7.83","TCP","102","[TCP segment of a reassembled PDU]"
"2556","7.016321000","172.20.7.83","119.254.11.66","TCP","78","[TCP Dup ACK 2547#2] 56725 > 80 [ACK] Seq=379 Ack=40725 Win=126720 Len=0 TSval=1626194982 TSecr=3632280311 SLE=42173 SRE=46517"
"2557","7.016322000","172.20.7.83","119.254.11.66","TCP","78","[TCP Dup ACK 2547#3] 56725 > 80 [ACK] Seq=379 Ack=40725 Win=126720 Len=0 TSval=1626194982 TSecr=3632280311 SLE=42173 SRE=47965"
"2558","7.016335000","172.20.7.83","119.254.11.66","TCP","78","[TCP Dup ACK 2547#4] 56725 > 80 [ACK] Seq=379 Ack=40725 Win=126720 Len=0 TSval=1626194982 TSecr=3632280311 SLE=42173 SRE=48001"
"2559","7.016962000","104.70.55.222","172.20.7.83","TLSv1.2","1514","Server Hello"
"2560","7.016965000","104.70.55.222","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2561","7.017029000","172.20.7.83","104.70.55.222","TCP","66","57010 > 443 [ACK] Seq=222 Ack=2897 Win=128864 Len=0 TSval=1626194982 TSecr=1463131866"
"2562","7.017152000","104.70.55.222","172.20.7.83","TLSv1.2","717","Certificate"
"2563","7.017193000","172.20.7.83","104.70.55.222","TCP","66","57010 > 443 [ACK] Seq=222 Ack=3548 Win=128192 Len=0 TSval=1626194982 TSecr=1463131866"
"2564","7.017751000","104.70.75.179","172.20.7.83","TCP","66","443 > 57011 [ACK] Seq=1 Ack=218 Win=29312 Len=0 TSval=541477229 TSecr=1626194849"
"2565","7.019443000","104.70.75.179","172.20.7.83","TCP","66","443 > 57012 [ACK] Seq=1 Ack=218 Win=29312 Len=0 TSval=541477232 TSecr=1626194852"
"2566","7.019589000","104.70.75.179","172.20.7.83","TLSv1.2","1514","Server Hello"
"2567","7.019592000","104.70.75.179","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2568","7.019649000","172.20.7.83","104.70.75.179","TCP","66","57011 > 443 [ACK] Seq=218 Ack=2897 Win=128416 Len=0 TSval=1626194984 TSecr=541477231"
"2569","7.019729000","104.70.75.179","172.20.7.83","TLSv1.2","717","Certificate"
"2570","7.019766000","172.20.7.83","104.70.75.179","TCP","66","57011 > 443 [ACK] Seq=218 Ack=3548 Win=127744 Len=0 TSval=1626194984 TSecr=541477231"
"2571","7.020192000","104.70.75.179","172.20.7.83","TCP","66","443 > 57013 [ACK] Seq=1 Ack=218 Win=29312 Len=0 TSval=541477232 TSecr=1626194853"
"2572","7.020559000","104.70.75.179","172.20.7.83","TLSv1.2","1514","Server Hello"
"2573","7.020762000","104.70.75.179","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2574","7.020764000","104.70.75.179","172.20.7.83","TLSv1.2","717","Certificate"
"2575","7.020812000","172.20.7.83","104.70.75.179","TCP","66","57012 > 443 [ACK] Seq=218 Ack=2897 Win=128416 Len=0 TSval=1626194985 TSecr=541477234"
"2576","7.020812000","172.20.7.83","104.70.75.179","TCP","66","57012 > 443 [ACK] Seq=218 Ack=3548 Win=127744 Len=0 TSval=1626194985 TSecr=541477234"
"2577","7.021390000","104.70.75.179","172.20.7.83","TLSv1.2","1514","Server Hello"
"2578","7.021394000","104.70.75.179","172.20.7.83","TCP","1514","[TCP segment of a reassembled PDU]"
"2579","7.021445000","172.20.7.83","104.70.75.179","TCP","66","57013 > 443 [ACK] Seq=218 Ack=2897 Win=128416 Len=0 TSval=1626194985 TSecr=541477234"
"2580","7.021580000","104.70.75.179","172.20.7.83","TLSv1.2","717","Certificate"
"2581","7.021618000","172.20.7.83","104.70.75.179","TCP","66","57013 > 443 [ACK] Seq=218 Ack=3548 Win=127744 Len=0 TSval=1626194986 TSecr=541477234"
"2582","7.022019000","216.58.216.102","172.20.7.83","TCP","66","80 > 57024 [ACK] Seq=1 Ack=2 Win=42624 Len=0 TSval=2574874377 TSecr=1626194906"
"2583","7.022071000","172.20.7.83","216.58.216.102","TCP","66","[TCP Dup ACK 2401#1] 57024 > 80 [ACK] Seq=2 Ack=1 Win=131872 Len=0 TSval=1626194986 TSecr=2574874377"
"2584","7.022294000","216.58.216.102","172.20.7.83","TCP","66","80 > 57024 [FIN, ACK] Seq=1 Ack=2 Win=42624 Len=0 TSval=2574874377 TSecr=1626194906"
"2585","7.022333000","172.20.7.83","216.58.216.102","TCP","66","57024 > 80 [ACK] Seq=2 Ack=2 Win=131872 Len=0 TSval=1626194986 TSecr=2574874377"
"2586","7.023217000","69.172.216.111","172.20.7.83","TCP","66","443 > 57016 [ACK] Seq=1 Ack=518 Win=15872 Len=0 TSval=1712712971 TSecr=1626194858"
"2587","7.025627000","69.172.216.111","172.20.7.83","TCP","66","443 > 57017 [ACK] Seq=1 Ack=518 Win=15872 Len=0 TSval=1218969053 TSecr=1626194858"
"2588","7.025990000","69.172.216.111","172.20.7.83","TCP","66","443 > 57015 [ACK] Seq=1 Ack=518 Win=15872 Len=0 TSval=2548376107 TSecr=1626194858"
"2589","7.027259000","69.172.216.111","172.20.7.83","TLSv1","1514","Server Hello"
"2590","7.027262000","69.172.216.111","172.20.7.83","TLSv1","1347","Certificate"
"2591","7.027334000","172.20.7.83","69.172.216.111","TCP","66","57016 > 443 [ACK] Seq=518 Ack=2730 Win=129024 Len=0 TSval=1626194990 TSecr=1712712974"
"2592","7.030678000","69.172.216.111","172.20.7.83","TLSv1","1514","Server Hello"
"2593","7.030683000","69.172.216.111","172.20.7.83","TLSv1","1347","Certificate"
"2594","7.030747000","172.20.7.83","69.172.216.111","TCP","66","57017 > 443 [ACK] Seq=518 Ack=2730 Win=129024 Len=0 TSval=1626194993 TSecr=1218969057"
"2595","7.031112000","69.172.216.111","172.20.7.83","TLSv1","1514","Server Hello"
"2596","7.031735000","69.172.216.111","172.20.7.83","TLSv1","1347","Certificate"
"2597","7.031781000","172.20.7.83","69.172.216.111","TCP","66","57015 > 443 [ACK] Seq=518 Ack=2730 Win=129024 Len=0 TSval=1626194994 TSecr=2548376111"
"2599","7.034030000","172.20.7.83","104.193.82.52","TCP","78","57053 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626194996 TSecr=0 SACK_PERM=1"
"2600","7.034154000","172.20.7.83","104.193.82.52","TCP","78","57054 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626194996 TSecr=0 SACK_PERM=1"
"2601","7.035520000","172.20.7.83","69.172.216.55","TLSv1.2","408","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"2602","7.036656000","172.20.7.83","69.172.216.55","TLSv1.2","408","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"2603","7.038874000","172.20.7.83","216.58.216.102","TLSv1.2","282","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"2604","7.039674000","64.20.243.253","172.20.7.83","TCP","74","80 > 57034 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=1531575258 TSecr=1626194862"
"2605","7.039738000","172.20.7.83","64.20.243.253","TCP","66","57034 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195001 TSecr=1531575258"
"2606","7.040310000","64.20.243.253","172.20.7.83","TCP","74","80 > 57035 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=1531947930 TSecr=1626194862"
"2607","7.040354000","172.20.7.83","64.20.243.253","TCP","66","57035 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195001 TSecr=1531947930"
"2608","7.042604000","8.43.72.52","172.20.7.83","TCP","74","80 > 57040 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 WS=1 SACK_PERM=1 TSval=400620012 TSecr=1626194876"
"2609","7.042681000","172.20.7.83","8.43.72.52","TCP","66","57040 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195003 TSecr=400620012"
"2610","7.043417000","8.43.72.52","172.20.7.83","TCP","74","80 > 57041 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 WS=1 SACK_PERM=1 TSval=400620012 TSecr=1626194876"
"2611","7.043475000","172.20.7.83","8.43.72.52","TCP","66","57041 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195003 TSecr=400620012"
"2612","7.045125000","172.20.7.83","104.70.55.222","TCP","66","[TCP Window Update] 57008 > 443 [ACK] Seq=222 Ack=3548 Win=131072 Len=0 TSval=1626195005 TSecr=1463131810"
"2613","7.046303000","172.20.7.83","104.70.55.222","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"2614","7.047945000","172.20.7.83","184.72.216.150","TCP","66","[TCP Window Update] 57027 > 443 [ACK] Seq=518 Ack=4296 Win=131072 Len=0 TSval=1626195007 TSecr=2362407708"
"2615","7.050482000","74.118.186.126","172.20.7.83","TCP","74","80 > 57050 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1460 TSval=1513144094 TSecr=1626194926 SACK_PERM=1"
"2616","7.050570000","172.20.7.83","74.118.186.126","TCP","66","57050 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=1626195009 TSecr=1513144094"
"2617","7.050666000","74.118.186.126","172.20.7.83","TCP","74","80 > 57049 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1460 TSval=1513144093 TSecr=1626194926 SACK_PERM=1"
"2618","7.050716000","172.20.7.83","74.118.186.126","TCP","66","57049 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=1626195009 TSecr=1513144093"
"2619","7.052460000","104.87.153.86","172.20.7.83","TCP","74","80 > 57046 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1036148845 TSecr=1626194892 WS=32"
"2620","7.052465000","104.87.153.86","172.20.7.83","TCP","74","80 > 57047 [SYN, ACK] Seq=0 Ack=1 Win=28240 Len=0 MSS=1424 SACK_PERM=1 TSval=1036134791 TSecr=1626194892 WS=32"
"2621","7.052552000","172.20.7.83","104.87.153.86","TCP","66","57046 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195010 TSecr=1036148845"
"2622","7.052612000","172.20.7.83","104.87.153.86","TCP","66","57047 > 80 [ACK] Seq=1 Ack=1 Win=131296 Len=0 TSval=1626195010 TSecr=1036134791"
"2623","7.052790000","104.87.153.86","172.20.7.83","TCP","74","80 > 57048 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1036148846 TSecr=1626194893 WS=32"
"2624","7.052832000","172.20.7.83","104.87.153.86","TCP","66","57048 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195010 TSecr=1036148846"
"2625","7.055255000","172.20.7.83","184.72.216.150","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"2627","7.055730000","172.20.7.83","216.58.216.102","TCP","78","57055 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626195012 TSecr=0 SACK_PERM=1"
"2628","7.055900000","172.20.7.83","184.72.216.150","TCP","66","[TCP Window Update] 57026 > 443 [ACK] Seq=518 Ack=4296 Win=131072 Len=0 TSval=1626195012 TSecr=2362407709"
"2629","7.057390000","172.20.7.83","184.72.216.150","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"2630","7.057501000","172.20.7.83","119.254.11.66","TCP","78","[TCP Window Update] 56725 > 80 [ACK] Seq=379 Ack=40725 Win=131072 Len=0 TSval=1626195014 TSecr=3632280311 SLE=42173 SRE=48001"
"2631","7.057780000","216.58.216.194","172.20.7.83","TLSv1.2","167","Application Data"
"2632","7.057836000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=148 Win=4092 Len=0 TSval=1626195014 TSecr=3192836068"
"2633","7.057963000","216.58.216.194","172.20.7.83","TLSv1.2","1484","Application Data"
"2634","7.057966000","216.58.216.194","172.20.7.83","TLSv1.2","1484","Application Data"
"2635","7.058007000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=1566 Win=4048 Len=0 TSval=1626195014 TSecr=3192836068"
"2636","7.058007000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=2984 Win=4004 Len=0 TSval=1626195014 TSecr=3192836068"
"2637","7.058266000","216.58.216.194","172.20.7.83","TLSv1.2","1484","Application Data"
"2638","7.058311000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=4402 Win=3959 Len=0 TSval=1626195014 TSecr=3192836068"
"2639","7.058533000","216.58.216.194","172.20.7.83","TLSv1.2","1484","Application Data"
"2640","7.058537000","216.58.216.194","172.20.7.83","TLSv1.2","1484","Application Data"
"2641","7.058538000","216.58.216.194","172.20.7.83","TLSv1.2","1024","Application Data"
"2642","7.058575000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=5820 Win=3915 Len=0 TSval=1626195015 TSecr=3192836068"
"2643","7.058575000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=7238 Win=3871 Len=0 TSval=1626195015 TSecr=3192836068"
"2644","7.058586000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=8196 Win=3841 Len=0 TSval=1626195015 TSecr=3192836068"
"2645","7.058661000","216.58.216.194","172.20.7.83","TLSv1.2","112","Application Data"
"2646","7.058694000","172.20.7.83","216.58.216.194","TCP","66","55992 > 443 [ACK] Seq=645 Ack=8242 Win=3839 Len=0 TSval=1626195015 TSecr=3192836068"
"2647","7.059677000","172.20.7.83","104.70.55.222","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"2648","7.060368000","172.20.7.83","104.70.75.179","TCP","66","[TCP Window Update] 57011 > 443 [ACK] Seq=218 Ack=3548 Win=131072 Len=0 TSval=1626195016 TSecr=541477231"
"2649","7.061691000","172.20.7.83","104.70.75.179","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"2650","7.061809000","173.194.46.71","172.20.7.83","TCP","66","[TCP ACKed unseen segment] 443 > 56699 [ACK] Seq=1 Ack=2 Win=375 Len=0 TSval=283136923 TSecr=1626104796"
"2651","7.062582000","172.20.7.83","104.70.75.179","TCP","66","[TCP Window Update] 57012 > 443 [ACK] Seq=218 Ack=3548 Win=131072 Len=0 TSval=1626195018 TSecr=541477234"
"2652","7.063851000","172.20.7.83","104.70.75.179","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"2653","7.064676000","172.20.7.83","104.70.75.179","TCP","66","[TCP Window Update] 57013 > 443 [ACK] Seq=218 Ack=3548 Win=131072 Len=0 TSval=1626195020 TSecr=541477234"
"2654","7.065948000","172.20.7.83","104.70.75.179","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"2655","7.066085000","63.251.210.243","172.20.7.83","TCP","74","80 > 57039 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2454517251 TSecr=1626194863 WS=256"
"2656","7.066146000","172.20.7.83","63.251.210.243","TCP","66","57039 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195022 TSecr=2454517251"
"2658","7.069058000","172.20.7.83","69.172.216.111","TLSv1","269","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"2659","7.070228000","172.20.7.83","69.172.216.111","TLSv1","269","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"2660","7.070432000","63.251.210.243","172.20.7.83","TCP","74","80 > 57038 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2454517252 TSecr=1626194863 WS=256"
"2661","7.070484000","172.20.7.83","63.251.210.243","TCP","66","57038 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195025 TSecr=2454517252"
"2662","7.071620000","172.20.7.83","69.172.216.111","TLSv1","269","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message, Encrypted Handshake Message"
"2663","7.071845000","172.20.7.83","50.16.234.248","TCP","78","57056 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626195026 TSecr=0 SACK_PERM=1"
"2664","7.071980000","172.20.7.83","50.16.234.248","TCP","78","57057 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626195026 TSecr=0 SACK_PERM=1"
"2665","7.074335000","172.20.7.83","74.125.228.249","TCP","78","57058 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626195028 TSecr=0 SACK_PERM=1"
"2666","7.074884000","172.20.7.83","74.125.228.249","TCP","78","57059 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626195028 TSecr=0 SACK_PERM=1"
"2667","7.075020000","172.20.7.83","216.58.216.194","TCP","66","[TCP Window Update] 55992 > 443 [ACK] Seq=645 Ack=8242 Win=4096 Len=0 TSval=1626195028 TSecr=3192836068"
"2668","7.080339000","106.39.164.146","172.20.7.83","TCP","66","80 > 57025 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"2669","7.080420000","172.20.7.83","106.39.164.146","TCP","54","57025 > 80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"2670","7.083903000","172.20.7.83","74.121.142.217","TLSv1.2","571","Client Hello"
"2671","7.085013000","172.20.7.83","104.87.153.86","TCP","66","57046 > 80 [FIN, ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626195038 TSecr=1036148845"
"2672","7.085127000","217.79.188.59","172.20.7.83","TCP","54","80 > 56863 [FIN, ACK] Seq=1 Ack=2 Win=14720 Len=0"
"2673","7.085184000","172.20.7.83","217.79.188.59","TCP","54","56863 > 80 [ACK] Seq=2 Ack=2 Win=262144 Len=0"
"2674","7.085422000","217.79.188.59","172.20.7.83","TCP","54","80 > 56865 [FIN, ACK] Seq=1 Ack=2 Win=14720 Len=0"
"2675","7.085463000","172.20.7.83","217.79.188.59","TCP","54","56865 > 80 [ACK] Seq=2 Ack=2 Win=262144 Len=0"
"2677","7.085628000","104.70.55.222","172.20.7.83","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"2678","7.085670000","172.20.7.83","104.70.55.222","TCP","66","57009 > 443 [ACK] Seq=348 Ack=3790 Win=130816 Len=0 TSval=1626195038 TSecr=1463131953"
"2679","7.085869000","172.20.7.83","74.121.142.217","TLSv1.2","571","Client Hello"
"2680","7.085973000","217.79.188.59","172.20.7.83","TCP","54","80 > 56862 [ACK] Seq=1 Ack=2 Win=14720 Len=0"
"2681","7.086013000","172.20.7.83","217.79.188.59","TCP","54","[TCP Dup ACK 1045#1] 56862 > 80 [ACK] Seq=2 Ack=1 Win=262144 Len=0"
"2682","7.088000000","217.79.188.59","172.20.7.83","TCP","54","80 > 56862 [FIN, ACK] Seq=1 Ack=2 Win=14720 Len=0"
"2683","7.088071000","172.20.7.83","217.79.188.59","TCP","54","56862 > 80 [ACK] Seq=2 Ack=2 Win=262144 Len=0"
"2684","7.088646000","172.20.7.83","52.6.101.202","HTTP","490","GET /ast?head=true&sec=8765636 HTTP/1.1 "
"2685","7.089514000","172.20.7.83","104.70.72.220","TLSv1.2","318","Client Hello"
"2686","7.089645000","172.20.7.83","104.70.72.220","TLSv1.2","318","Client Hello"
"2688","7.094254000","172.20.7.83","74.125.228.237","TCP","78","57060 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626195046 TSecr=0 SACK_PERM=1"
"2689","7.096395000","172.20.7.83","216.38.162.131","TLSv1.2","320","Client Hello"
"2690","7.096841000","172.20.7.83","216.38.162.131","TLSv1.2","320","Client Hello"
"2691","7.102914000","184.72.216.150","172.20.7.83","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"2692","7.102993000","172.20.7.83","184.72.216.150","TCP","66","57027 > 443 [ACK] Seq=644 Ack=4538 Win=130816 Len=0 TSval=1626195054 TSecr=2362407739"
"2693","7.105758000","184.72.216.150","172.20.7.83","TLSv1.2","308","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"2694","7.105837000","172.20.7.83","184.72.216.150","TCP","66","57026 > 443 [ACK] Seq=644 Ack=4538 Win=130816 Len=0 TSval=1626195056 TSecr=2362407740"
"2695","7.105936000","122.132.255.155","172.20.7.83","TCP","54","80 > 56981 [FIN, ACK] Seq=3214 Ack=790 Win=13396 Len=0"
"2696","7.105979000","172.20.7.83","122.132.255.155","TCP","54","56981 > 80 [ACK] Seq=790 Ack=3215 Win=65535 Len=0"
"2697","7.114927000","172.20.7.83","216.58.216.194","TLSv1.2","112","Application Data"
